,Id,Name,RatingDist1,pagesNumber,RatingDist4,RatingDistTotal,PublishMonth,PublishDay,Publisher,CountsOfReview,PublishYear,Language,Authors,Rating,RatingDist2,RatingDist5,ISBN,RatingDist3,Description,Count of text reviews,book_id
0,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",1:9896,652,4:556485,total:2298124,16,9,Scholastic Inc.,28062,2006,eng,J.K. Rowling,4.57,2:25317,5:1546466,,3:159960,,,0
1,2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",1:12455,870,4:604283,total:2358637,1,9,Scholastic Inc.,29770,2004,eng,J.K. Rowling,4.5,2:37005,5:1493113,0439358078,3:211781,,,1
2,3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",1:108202,309,4:1513191,total:6587388,1,11,Scholastic Inc,75911,2003,eng,J.K. Rowling,4.47,2:130310,5:4268227,,3:567458,,,2
3,4,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",1:11896,352,4:706082,total:2560657,1,11,Scholastic,244,2003,eng,J.K. Rowling,4.42,2:49353,5:1504505,0439554896,3:288821,,,3
4,5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",1:10128,435,4:630534,total:2610317,1,5,Scholastic Inc.,37093,2004,eng,J.K. Rowling,4.57,2:24849,5:1749958,043965548X,3:194848,,,4
5,6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",1:9419,734,4:606800,total:2431085,28,9,Scholastic,31978,2002,eng,J.K. Rowling,4.5600000000000005,2:24282,5:1612165,,3:178419,,,5
8,10,"Harry Potter Collection (Harry Potter, #1-6)",1:257,3342,4:4358,total:30313,12,9,Scholastic,809,2005,eng,J.K. Rowling,4.73,2:218,5:24406,0439827604,3:1074,,,8
9,12,"The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy, #1-5)",1:3443,815,4:75683,total:274268,1,11,Gramercy Books,255,2005,eng,Douglas Adams,4.37,2:7613,5:157499,0517226952,3:30030,,,9
10,13,"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",1:3443,815,4:75683,total:274268,30,4,Del Rey Books,4119,2002,eng,Douglas Adams,4.37,2:7613,5:157499,0345453743,3:30030,,,10
11,14,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",1:28636,215,4:396332,total:1350083,3,8,Crown,470,2004,eng,Douglas Adams,4.22,2:54163,5:682711,1400052920,3:188241,,,11
12,18,"The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy, #1-5)",1:3443,815,4:75683,total:274268,17,1,Wings Books,194,1996,eng,Douglas Adams,4.37,2:7613,5:157499,0517149257,3:30030,,,12
13,21,A Short History of Nearly Everything,1:5140,544,4:94040,total:276166,14,9,Broadway Books,9545,2004,eng,Bill Bryson,4.21,2:9367,5:129555,076790818X,3:38064,,,13
14,22,Bill Bryson's African Diary,1:249,55,4:2409,total:8393,3,12,Broadway Books,503,2002,eng,Bill Bryson,3.45,2:985,5:1408,0767915062,3:3342,,,14
16,24,In a Sunburned Country,1:987,335,4:34941,total:85287,15,5,Broadway Books,4298,2001,eng,Bill Bryson,4.07,2:2900,5:30483,0767903862,3:15976,,,16
17,25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,1:741,304,4:22652,total:56082,28,6,Broadway Books,2224,2000,eng,Bill Bryson,3.9,2:2709,5:15891,076790382X,3:14089,,,17
18,26,The Lost Continent: Travels in Small Town America,1:1373,299,4:18427,total:49012,28,8,William Morrow Paperbacks,2276,1990,eng,Bill Bryson,3.83,2:3219,5:14013,0060920084,3:11980,,,18
19,27,Neither Here nor There: Travels in Europe,1:1172,254,4:20655,total:54388,28,3,William Morrow Paperbacks,2264,1993,eng,Bill Bryson,3.86,2:3305,5:15888,0380713802,3:13368,,,19
20,28,Notes from a Small Island,1:1487,324,4:35153,total:89491,28,5,William Morrow Paperbacks,3335,1997,eng,Bill Bryson,3.92,2:4717,5:27216,0380727501,3:20918,,,20
21,29,The Mother Tongue: English and How It Got That Way,1:490,270,4:13483,total:33416,28,9,William Morrow Paperbacks,2123,1991,eng,Bill Bryson,3.93,2:1691,5:10087,0380715430,3:7665,,,21
22,30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,1:920,1728,4:22283,total:106621,25,9,Ballantine Books,1548,2012,eng,J.R.R. Tolkien,4.6,2:1443,5:75533,0345538374,3:6442,,,22
23,31,"The Lord of the Rings (The Lord of the Rings, #1-3)",1:5774,1184,4:126639,total:539513,21,10,Houghton Mifflin Harcourt,90,2004,eng,J.R.R. Tolkien,4.5,2:11142,5:352247,0618517650,3:43711,,,23
24,34,"The Fellowship of the Ring (The Lord of the Rings, #1)",1:45879,398,4:593379,total:2255826,5,9,Houghton Mifflin Harcourt,13935,2003,eng,J.R.R. Tolkien,4.36,2:65166,5:1314771,0618346252,3:236631,,,24
28,45,Agile Web Development with Rails: A Pragmatic Guide,1:56,558,4:820,total:2080,28,7,Pragmatic Bookshelf,59,2005,eng,Dave Thomas,3.84,2:124,5:580,097669400X,3:500,,,28
30,50,"Hatchet (Brian's Saga, #1)",1:14007,208,4:92227,total:288973,1,4,Atheneum Books for Young Readers: Richard Jackson Books,12157,2000,eng,Gary Paulsen,3.72,2:26144,5:85440,0689840926,3:71155,,,30
39,61,The Changeling,1:13,228,4:453,total:1365,8,6,iUniverse,97,2004,eng,Zilpha Keatley Snyder,4.17,2:48,5:611,0595321801,3:240,,,39
42,67,The Known World,1:933,388,4:12417,total:33493,29,8,Amistad,2632,2006,eng,Edward P. Jones,3.83,2:2460,5:9894,0061159174,3:7789,,,42
46,75,Uncommon Carriers,1:21,248,4:861,total:1895,16,5,Farrar Straus Giroux,203,2006,en-US,John McPhee,3.95,2:75,5:529,0374280398,3:409,,,46
49,78,Annals of the Former World,1:56,720,4:1003,total:3472,6,1,"Farrar, Straus and Giroux",227,1999,eng,John McPhee,4.34,2:101,5:1933,0374518734,3:379,,,49
61,93,"Heidi (Heidi, #1-2)",1:2312,352,4:55474,total:167957,15,11,Kingfisher,2289,2002,eng,Johanna Spyri,3.99,2:8754,5:61857,0753454947,3:39560,,,61
70,103,"God Emperor of Dune (Dune Chronicles, #4)",1:1228,423,4:20916,total:63372,15,6,Ace Books,167,1987,eng,Frank Herbert,3.85,2:4926,5:20076,0441294677,3:16226,,,70
71,104,"Dune (Dune Chronicles, #1)",1:15670,528,4:200976,total:688418,2,8,Ace Books,468,2005,eng,Frank Herbert,4.23,2:27945,5:351127,,3:92700,,,71
72,105,Chapterhouse: Dune (Dune Chronicles #6),1:753,436,4:14899,total:44113,1,7,Ace Books,569,1987,eng,Frank Herbert,3.91,2:2941,5:14828,0441102670,3:10692,,,72
73,106,Dune Messiah (Dune Chronicles #2),1:1271,331,4:47997,total:119887,15,7,Ace Books,2372,1987,eng,Frank Herbert,3.88,2:6672,5:33606,0441172695,3:30341,,,73
76,109,"Heretics of Dune (Dune Chronicles, #5)",1:791,480,4:18351,total:51869,16,4,Putnam,20,1984,eng,Frank Herbert,3.86,2:3445,5:15664,0399128980,3:13618,,,76
78,112,Children of Dune (Dune Chronicles #3),1:1021,408,4:38518,total:99703,15,5,Ace Books,1408,1987,eng,Frank Herbert,3.93,2:5191,5:30710,,3:24263,,,78
79,117,Heretics of Dune (Dune Chronicles #5),1:791,471,4:18351,total:51869,15,8,Ace Books,642,1987,eng,Frank Herbert,3.86,2:3445,5:15664,0441328008,3:13618,,,79
82,122,"The Power of One (The Power of One, #1)",1:883,544,4:22532,total:74341,29,9,Ballantine Books,4580,1996,eng,Bryce Courtenay,4.35,2:1947,5:40853,034541005X,3:8126,,,82
102,151,Anna Karenina,1:16361,838,4:207053,total:631550,31,5,Penguin Classics,1873,2004,eng,Leo Tolstoy,4.05,2:34470,5:261170,0143035002,3:112496,,,102
107,163,The Untouchable,1:50,368,4:1104,total:2686,30,6,Vintage Books,218,1998,eng,John Banville,3.95,2:144,5:843,0679767479,3:545,,,107
125,205,"A Long Shadow (Inspector Ian Rutledge, #8)",1:10,352,4:1812,total:3879,3,1,William Morrow,238,2006,eng,Charles Todd,4.12,2:56,5:1298,006078671X,3:703,,,125
128,208,"A Shadow in Summer (Long Price Quartet, #1)",1:344,331,4:4305,total:11123,7,3,Tor Books,636,2006,eng,Daniel Abraham,3.61,2:984,5:2053,0765313405,3:3437,,,128
142,231,I am Charlotte Simmons,1:1584,738,4:7605,total:23687,30,8,Picador USA,1696,2005,eng,Tom Wolfe,3.42,2:3103,5:4305,0312424442,3:7090,,,142
154,248,Big Sur and the Oranges of Hieronymus Bosch,1:19,400,4:946,total:2600,17,1,New Directions,142,1957,,Henry Miller,4.02,2:140,5:946,0811201074,3:549,,,154
155,249,Tropic of Cancer,1:3102,318,4:19730,total:60009,6,1,Grove Press,2405,1994,eng,Henry Miller,3.68,2:5864,5:16602,0802131786,3:14711,,,155
156,250,Tropic of Capricorn,1:679,348,4:6077,total:17084,13,1,Grove Press,463,1994,eng,Henry Miller,3.78,2:1362,5:5014,0802151825,3:3952,,,156
157,251,"Nexus (The Rosy Crucifixion, #3)",1:19,316,4:1381,total:3577,13,1,Grove Press,58,1994,eng,Henry Miller,4.1,2:132,5:1359,0802151787,3:686,,,157
158,252,"Sexus (The Rosy Crucifixion, #1)",1:233,506,4:3050,total:8560,12,1,Grove Press,255,1994,eng,Henry Miller,3.98,2:506,5:3138,0802151809,3:1633,,,158
170,264,The Portrait of a Lady,1:2202,797,4:23320,total:68057,30,9,Penguin Classics,1994,2003,eng,Henry James,3.78,2:5519,5:19713,0141439637,3:17303,,,170
173,275,The Lover,1:880,117,4:11787,total:33882,8,9,Pantheon Books,1473,1998,eng,Marguerite Duras,3.74,2:3007,5:9098,,3:9110,,,173
174,277,Writing,1:37,91,4:551,total:1595,6,5,Brookline Books,49,1999,eng,Marguerite Duras,3.74,2:156,5:428,1571290532,3:423,,,174
175,278,The War,1:36,192,4:848,total:2144,1,8,The New Press,66,1994,eng,Marguerite Duras,3.85,2:120,5:582,1565842219,3:558,,,175
177,280,The Ravishing of Lol Stein,1:122,181,4:934,total:3053,12,3,Pantheon,131,1986,en-US,Marguerite Duras,3.66,2:351,5:834,0394743040,3:812,,,177
179,285,Love Letters,1:19,178,4:119,total:418,1,7,One World (UK),8,1999,eng,Kahlil Gibran,3.7,2:41,5:127,1851681825,3:112,,,179
180,286,The Prophet,1:4002,128,4:62839,total:220719,21,2,Knopf,51,1995,,Kahlil Gibran,4.23,2:8945,5:112917,0679440674,3:32016,,,180
184,291,The Broken Wings,1:345,132,4:5530,total:16106,3,3,Citadel,528,2003,eng,Kahlil Gibran,3.92,2:1032,5:5544,0806501901,3:3655,,,184
186,295,Treasure Island,1:6826,311,4:140643,total:380722,15,9,Kingfisher,6859,2001,eng,Robert Louis Stevenson,3.83,2:23087,5:106542,0753453800,3:103624,,,186
200,324,Cien aÃ±os de soledad,1:31197,448,4:191401,total:712566,1,1,French & European,7,1990,spa,Gabriel GarcÃ­a MÃ¡rquez,4.07,2:44384,5:339759,0785950109,3:105825,,,200
201,327,Why Zebras Don't Get Ulcers,1:79,560,4:2962,total:8126,15,9,Holt Paperbacks,619,2004,,Robert M. Sapolsky,4.17,2:293,5:3488,0805073698,3:1304,,,201
