,user_id,book_id,Rating
0,1,22,5
14116,1,6773,5
14122,1,373,5
14144,1,187,4
14259,1,985,4
14266,1,7037,4
14288,1,3371,4
14291,1,467,4
14304,1,20,5
14405,1,34,4
14420,1,530,4
14550,1,7464,4
14571,1,308,5
14580,1,7050,5
14584,1,7,5
14631,1,691,5
15081,1,141,5
15098,1,1738,5
15187,1,2087,2
15191,1,3681,5
15196,1,249,4
15312,1,6599,4
15317,1,7956,4
15341,1,3011,5
15372,1,2926,4
15379,1,134,5
15435,1,253,5
15490,1,274,5
14113,1,5964,5
13995,1,572,3
13992,1,2143,3
13899,1,6106,4
12637,1,1573,5
12762,1,3554,4
2327,1,975,4
12822,1,910,3
12902,1,2037,4
13041,1,32,4
13064,1,8213,5
13067,1,2444,5
13083,1,6292,5
13103,1,1429,3
13232,1,1221,4
13240,1,3959,3
13243,1,60,5
15510,1,1918,5
13289,1,3912,5
13364,1,1571,5
13465,1,5106,5
13472,1,3072,3
13501,1,2144,4
13517,1,159,5
13520,1,188,5
13525,1,11,5
13602,1,366,4
13612,1,9,5
13739,1,840,4
13804,1,239,4
13893,1,7731,5
13896,1,7258,4
13321,1,3479,3
12290,1,235,5
15575,1,435,4
15667,1,103,4
1479,1,5210,3
1476,1,4574,3
1472,1,4940,4
1454,1,579,5
1416,1,604,5
1411,1,7999,4
1386,1,7337,3
1382,1,6939,4
1373,1,903,3
1234,1,263,4
1184,1,3475,4
1160,1,2122,5
1153,1,7457,5
1150,1,2556,4
1069,1,3170,5
1057,1,3337,4
1052,1,3109,3
917,1,457,5
868,1,6423,5
835,1,3103,4
724,1,1216,5
715,1,8181,5
545,1,309,4
540,1,3108,4
533,1,5659,5
527,1,287,4
523,1,3701,4
1483,1,4680,5
1914,1,898,3
1936,1,2445,5
1949,1,0,5
15671,1,4298,2
15677,1,36,5
15717,1,611,5
16299,1,138,2
16303,1,476,5
16314,1,950,5
16383,1,232,5
16445,1,5830,4
16449,1,546,5
16966,1,2142,3
16970,1,507,3
17132,1,900,2
17175,1,23,5
15582,1,139,4
17212,1,715,3
17223,1,55,5
17271,1,610,4
17354,1,210,5
17370,1,6672,5
17387,1,181,5
17398,1,895,3
17423,1,5629,5
17478,1,3336,3
17487,1,4777,5
17568,1,4096,5
17575,1,5749,3
17650,1,487,5
17795,1,982,5
17220,1,6360,4
466,1,1273,4
12277,1,5259,5
12270,1,2145,3
5181,1,767,4
5250,1,7077,4
5253,1,1551,3
5270,1,2584,4
5287,1,433,4
5294,1,173,4
5482,1,6335,4
5488,1,4,5
5885,1,4594,3
5890,1,8499,5
6115,1,1739,5
6197,1,152,4
6406,1,2855,5
6435,1,344,5
6713,1,1088,5
6925,1,5928,4
6931,1,5,5
7326,1,1613,4
7334,1,4501,5
7613,1,413,5
7648,1,3253,5
7745,1,174,5
8030,1,2956,5
8038,1,5339,5
8062,1,143,5
8398,1,818,4
8491,1,339,4
5065,1,2014,5
5060,1,3167,3
5055,1,2141,3
4548,1,313,5
3058,1,31,4
3068,1,2,5
3525,1,157,2
3585,1,3198,5
3588,1,2112,5
3609,1,857,5
3641,1,271,5
3663,1,4774,5
3668,1,6210,4
3671,1,105,5
3951,1,7512,5
3972,1,3691,5
3979,1,2946,2
8573,1,5884,5
4025,1,114,5
4169,1,3373,5
4199,1,7858,5
4203,1,703,5
4237,1,140,4
4241,1,7790,3
4263,1,3946,3
4270,1,4434,4
4296,1,21,5
4416,1,680,4
2760,1,651,4
4498,1,6334,5
4502,1,849,4
4526,1,8076,5
4163,1,5512,5
12273,1,6064,4
8741,1,6006,4
8762,1,8180,3
2436,1,1697,3
11140,1,1789,4
11152,1,2284,4
11208,1,2049,5
11214,1,1954,4
11251,1,2050,5
11269,1,1658,4
11358,1,228,3
11474,1,598,5
11585,1,807,4
11666,1,730,5
11814,1,19,5
11874,1,7097,2
11900,1,1650,4
11938,1,35,4
11946,1,6572,3
11954,1,1090,4
12010,1,29,4
12020,1,1144,5
12026,1,7758,4
12067,1,8019,5
2367,1,6990,4
12147,1,2256,5
2362,1,2267,4
12191,1,1162,5
2358,1,2036,3
12256,1,1288,5
10765,1,1,5
10762,1,3227,4
10755,1,705,3
10565,1,505,5
8770,1,2398,3
8800,1,5329,5
8810,1,146,5
2550,1,1001,5
9108,1,5000,3
9111,1,454,4
9139,1,311,4
9142,1,854,5
9239,1,7030,3
9247,1,348,5
9341,1,6799,2
9401,1,4702,5
9408,1,3,4
8756,1,7619,4
9732,1,156,4
9797,1,434,5
9810,1,307,4
9965,1,162,5
9995,1,2127,5
10079,1,2776,5
10222,1,8275,4
10226,1,2563,4
10317,1,185,4
10388,1,4706,4
10410,1,326,4
10430,1,1536,4
10455,1,1242,2
10531,1,929,4
9794,1,4996,4
392,1,2015,5
3053,1,227,3
97,1,5328,4
14,1,766,5
119,1,7307,4
7,1,3197,5
248,1,2018,4
106,1,4710,5
109,1,537,4
19415,2,718,5
19627,2,3152,4
17823,2,8218,3
18723,2,6800,5
17930,2,155,5
6198,2,152,4
19647,2,30,5
19489,2,784,3
7746,2,174,5
18444,2,8066,5
15436,2,253,4
14585,2,7,4
19717,2,203,3
15342,2,3011,4
12068,2,8019,5
18498,2,1149,5
9798,2,434,5
18885,2,3420,5
15678,2,36,5
17848,2,998,5
3069,2,2,5
17833,2,787,4
19157,2,1615,5
12291,2,235,5
13900,2,6106,4
3610,2,857,5
19153,2,7248,3
19075,2,1519,5
19518,2,832,4
19495,2,5070,5
9966,2,162,5
19004,2,6272,5
19515,2,7796,5
18937,2,247,5
19816,3,6465,3
19813,3,3579,4
19824,3,213,4
19785,3,4171,5
17424,3,5629,5
19807,3,131,4
5251,3,7077,4
2551,3,1001,5
19722,3,164,5
19872,4,7955,5
19853,4,4300,4
14117,4,6773,5
1070,4,3170,4
25404,5,650,5
25432,5,3208,5
25377,5,879,4
25329,5,5604,4
25322,5,184,4
25270,5,1694,4
26468,5,1079,5
5182,5,767,5
25455,5,28,5
26319,5,1880,4
26302,5,802,5
26233,5,2772,4
26225,5,5200,5
26215,5,2608,4
26178,5,349,5
26169,5,1297,5
26160,5,8511,5
26102,5,354,5
26033,5,889,4
25953,5,6313,5
25891,5,887,5
5271,5,2584,5
25886,5,2110,5
25870,5,1790,4
25848,5,1779,5
25841,5,120,4
25782,5,3046,3
25736,5,1635,4
25710,5,7321,5
25549,5,595,4
25543,5,2109,5
25515,5,2108,5
25230,5,7364,4
25468,5,6697,5
25440,5,3682,5
25222,5,5377,3
24853,5,663,5
25198,5,2869,4
24265,5,5738,3
24261,5,3503,3
24202,5,1511,5
24197,5,5919,5
4503,5,849,5
24190,5,2583,5
24186,5,2886,4
24085,5,472,5
24069,5,2360,5
24050,5,2858,5
13104,5,1429,3
23967,5,1322,3
23954,5,928,3
23914,5,575,3
23890,5,1317,3
23859,5,5412,5
23799,5,621,5
23794,5,3780,5
23788,5,2132,4
9811,5,307,4
23728,5,1253,5
23713,5,808,5
23702,5,7488,5
23691,5,6271,4
23644,5,1195,4
24270,5,527,4
24273,5,4743,3
4549,5,313,4
24287,5,5116,3
25070,5,7279,5
5066,5,2014,3
25026,5,6983,3
24987,5,606,4
24984,5,7079,4
26397,5,8004,5
1185,5,3475,4
24714,5,6954,5
24685,5,1034,4
24679,5,273,5
24667,5,7674,4
5061,5,3167,3
25209,5,5356,5
24658,5,3194,4
24607,5,6653,5
24603,5,4742,5
24599,5,5531,5
24529,5,1699,5
24522,5,24,5
24366,5,37,5
24363,5,378,4
24330,5,2833,5
24313,5,350,5
24302,5,5115,3
13065,5,8213,5
24297,5,8102,3
24644,5,2905,3
26404,5,2765,5
27626,5,6838,4
12292,5,235,5
29546,5,735,5
725,5,1216,5
29543,5,353,4
29537,5,8464,5
29520,5,1561,5
29511,5,6194,5
29508,5,7655,3
29497,5,4073,5
29488,5,804,5
11252,5,2050,5
716,5,8181,5
29364,5,510,5
11270,5,1658,3
29360,5,4485,5
29351,5,2362,5
29346,5,805,5
29340,5,375,4
29333,5,289,4
29322,5,799,3
29310,5,6677,4
29305,5,329,5
29558,5,2028,4
29299,5,8295,3
29637,5,7533,4
29699,5,729,4
6436,5,344,5
7747,5,174,5
1161,5,2122,3
30049,5,958,5
30045,5,439,5
30042,5,2640,4
30032,5,2545,3
29952,5,266,5
29946,5,5927,3
29917,5,3057,4
29914,5,7917,5
5886,5,4594,3
29908,5,299,4
29784,5,431,5
29776,5,1503,4
29752,5,352,5
29748,5,8176,5
29745,5,2865,5
29740,5,7832,3
29730,5,3592,4
29725,5,2113,3
29647,5,2975,5
29286,5,842,4
29269,5,7581,5
29265,5,2945,3
23605,5,178,4
27525,5,1051,3
27389,5,906,5
27386,5,6242,5
27335,5,6661,5
27316,5,829,5
27313,5,6696,4
27253,5,5544,5
27231,5,1384,5
12192,5,1162,5
10080,5,2776,5
12278,5,5259,5
26865,5,151,5
26771,5,915,4
26663,5,2695,5
26601,5,2115,5
26561,5,3162,5
26525,5,824,5
26465,5,1525,5
26462,5,617,5
26457,5,3988,3
27631,5,6153,5
27638,5,8210,4
27641,5,2378,5
27648,5,3506,3
29260,5,406,5
29248,5,4868,4
29120,5,3547,3
29117,5,346,4
29096,5,709,5
29073,5,3590,5
29064,5,795,3
28959,5,1695,5
28878,5,2418,5
11586,5,807,4
26410,5,3225,5
28672,5,2123,3
28530,5,2031,3
28200,5,7524,4
28132,5,2406,5
28097,5,1189,3
28090,5,3176,3
28063,5,1812,4
28045,5,2741,5
28029,5,5114,3
27967,5,3526,5
27674,5,208,3
1484,5,4680,5
23601,5,2041,4
23862,5,2904,3
21304,5,4669,3
20808,5,3378,3
20798,5,7962,3
20794,5,3713,5
20790,5,2470,4
20786,5,4177,4
2552,5,1001,5
15192,5,3681,5
21019,5,1381,5
20720,5,2832,4
20697,5,1107,5
20692,5,4173,5
20608,5,7288,3
8574,5,5884,5
20569,5,2496,3
15718,5,611,5
3589,5,2112,5
20712,5,2469,4
21028,5,1086,5
21216,5,422,4
16315,5,950,5
21554,5,5751,3
19648,5,30,1
21508,5,2736,5
4204,5,703,5
21504,5,4196,5
21499,5,3998,3
21466,5,1523,5
21458,5,149,5
21419,5,2033,4
21366,5,379,5
3070,5,2,4
21360,5,3224,5
21316,5,1517,5
17931,5,155,4
21267,5,908,5
21262,5,1639,4
21230,5,3632,4
20562,5,5155,5
20511,5,2677,4
393,5,2015,4
3611,5,857,5
8399,5,818,5
